tsit8-tshing1 1.0	tsit8 tshing1
khoo1 1.0	khoo1
ho2-khang1 1.0	ho2 khang1
gdp 1.0	gdp
tsing1-ka1 1.0	tsing1 ka1
pha1 1.0	pha1
tsu2-ke3-tshu3 1.0	tsu2 ke3 tshu3
tsat4-kue3 1.0	tsat4 kue3
goo7-ban7 1.0	goo7 ban7
nng7-tshian1 1.0	nng7 tshian1
sann1-pah4 1.0	sann1 pah4
bi2-kim1 1.0	bi2 kim1
koh4-khah4 1.0	koh4 khah4
bbs 1.0	bbs
siu1-siu1--khi2-lai5--ah4 1.0	siu1 siu1 khi2 lai5 ah4
lok8-im1 1.0	lok8 im1
tsio3 1.0	tsio3
sop 1.0	sop
ho2--ah4 1.0	ho2 ah4
tiann7 1.0	tiann7
lau3-kau1 1.0	lau3 kau1
server1 1.0	server1
tso3 1.0	tso3
linux1--e5 1.0	linux1 e5
kuan2-li2 1.0	kuan2 li2
thui1-tsian3 1.0	thui1 tsian3
ubuntu1 1.0	ubuntu1
khuann3-mai7--a2 1.0	khuann3 mai7 a2
windows1 1.0	windows1
kang7-khuan2-a2 1.0	kang7 khuan2 a2
vista1 1.0	vista1
ji7-hing5 1.0	ji7 hing5
tsi1-uan7 1.0	tsi1 uan7
unicode1 1.0	unicode1
extension1-b 1.0	extension1 b
ji7 1.0	ji7
android1 1.0	android1
ios1--e5 1.0	ios1 e5
lap8-tsinn5 1.0	lap8 tsinn5
paypal1 1.0	paypal1
khau2-tso7 1.0	khau2 tso7
big1-five1--ah4 1.0	big1 five1 ah4
utf-peh4 1.0	utf peh4
bun7-tue5 1.0	bun7 tue5
email1 1.0	email1
